,brand,rate1,tag,rate2
0,UNIQLO,0.5807962529274004,シンプル,0.020572811617587738
1,GU,0.13100978096156496,カジュアル,0.01963157187037784
2,CONVERSE,0.07976305276208845,オトナカジュアル,0.019228183407287883
3,無印良品,0.03884832621573219,冬,0.01882479494419793
4,Johnbull Private labo,0.015842402534784406,大人カジュアル,0.016942315449778138
5,Reebok,0.012673922027827524,ニット,0.016673389807718167
6,L.L.Bean,0.010194241631078661,冬コーデ,0.014521984671238403
7,Lee,0.00978096156495385,スニーカー,0.013580744924028507
8,NIKE,0.006888001102080176,デニム,0.011160414145488773
9,NIXON,0.006336961013913762,カジュアルコーデ,0.010757025682398816
