,brand,rate1,tag,rate2
0,MOUSSY,0.18439623627809723,シンプル,0.023287671232876714
1,SLY,0.13512807109252484,冬,0.02095890410958904
2,EMODA,0.08494511238891793,カジュアル,0.020821917808219178
3,MURUA,0.07958703606900157,オトナカジュアル,0.01958904109589041
4,CONVERSE,0.05397281756403555,ニット,0.018904109589041096
5,ZARA,0.049921589127025615,大人カジュアル,0.015753424657534248
6,EVRIS,0.03476215368531103,休日スタイル,0.013835616438356164
7,AZUL by moussy,0.033585990590695246,カジュアルコーデ,0.013561643835616439
8,Rodeo Crowns,0.020386826973340304,冬コーデ,0.013424657534246575
9,rienda,0.017773131207527444,スニーカー,0.013287671232876712
